node_id,organism,full_info,x_pos,y_pos,degree_centrality,betweenness_centrality,closeness_centrality,cluster_id
MZ440654.1,Acheta domesticus,"MZ440654.1 Acheta domesticus mitochondrion, complete genome",-0.440310001373291,-0.22822992503643036,0.020368574199806012,0.0012726924044646833,0.15004773593266585,0
OK504623.1,Acheta domesticus,"OK504623.1 Acheta domesticus mitochondrion, complete genome",-0.6962536573410034,-0.4929095506668091,0.02230843840931135,0.01408319202765778,0.1616567970129434,0
GU344100.1,Acrida cinerea,"GU344100.1 Acrida cinerea mitochondrion, complete genome",0.3525707423686981,0.30503612756729126,0.16100872938894278,0.009036042138087416,0.21374817672949095,1
NC_014887.1,Acrida cinerea,"NC_014887.1 Acrida cinerea mitochondrion, complete genome",0.3643634617328644,0.30837225914001465,0.16100872938894278,0.009036042138087416,0.21374817672949095,1
KX673195.1,Acrida cinerea,"KX673195.1 Acrida cinerea mitochondrion, complete genome",0.3855166733264923,0.2438679039478302,0.14645974781765275,0.008813871829432425,0.20637910887693023,1
PP588449.1,Acrida oxycephala,"PP588449.1 Acrida oxycephala mitochondrion, complete genome",0.3775390386581421,0.23071984946727753,0.1600387972841901,0.013862710294029568,0.21473600941243973,1
NC_088527.1,Acrida oxycephala,"NC_088527.1 Acrida oxycephala mitochondrion, complete genome",0.3845227062702179,0.23200786113739014,0.1600387972841901,0.013862710294029568,0.21473600941243973,1
EU938372.1,Acrida willemsei,"EU938372.1 Acrida willemsei mitochondrion, complete genome",0.36230042576789856,0.28368741273880005,0.1755577109602328,0.012258790342787906,0.21573301498344596,1
NC_011303.1,Acrida willemsei,"NC_011303.1 Acrida willemsei mitochondrion, complete genome",0.36967793107032776,0.285209983587265,0.1755577109602328,0.012258790342787906,0.21573301498344596,1
OQ830999.1,Acrotylus insubricus,"OQ830999.1 Acrotylus insubricus insubricus mitochondrion, complete genome",0.24498306214809418,0.4291437268257141,0.09602327837051407,0.014425180597158794,0.2063354677035581,1
OR061135.1,Aeropedellus prominemarginis,"OR061135.1 Aeropedellus prominemarginis mitochondrion, complete genome",0.6007398962974548,-0.031355857849121094,0.13482056256062075,0.002646767882002441,0.1984462938316303,2
NC_084450.1,Aeropedellus prominemarginis,"NC_084450.1 Aeropedellus prominemarginis mitochondrion, complete genome",0.562195897102356,-0.038291092962026596,0.13482056256062075,0.002646767882002441,0.1984462938316303,2
OQ831000.1,Aiolopus simulatrix,"OQ831000.1 Aiolopus simulatrix simulatrix mitochondrion, complete genome",0.13913781940937042,0.48032325506210327,0.08244422890397672,0.0029285046823048395,0.19368011646886188,1
KY236114.1,Aiolopus thalassinus,"KY236114.1 Aiolopus thalassinus voucher AITH2016 mitochondrion, complete genome",0.32945477962493896,0.4218986928462982,0.16682832201745879,0.022695716644366457,0.21981536985134625,1
NC_034674.1,Aiolopus thalassinus,"NC_034674.1 Aiolopus thalassinus voucher AITH2016 mitochondrion, complete genome",0.37343499064445496,0.4497045874595642,0.16682832201745879,0.022695716644366457,0.21981536985134625,1
MK903555.1,Aiolopus thalassinus,"MK903555.1 Aiolopus thalassinus tamulus mitochondrion, complete genome",0.25900742411613464,0.5468238592147827,0.11445198836081474,0.0014280468486733212,0.20019705104023924,1
MN562488.1,Alloxiphidiopsis emarginata,"MN562488.1 Alloxiphidiopsis emarginata mitochondrion, complete genome",-0.0713847279548645,-0.7893707156181335,0.06692531522793405,0.002797470902910562,0.15794115033508033,7
